SPECTRUM - MS
Pol2_010.RAW
FTMS + p NSI sid=25.00  Full ms2 1000.00@hcd100.00 [1000.00-15000.00]
Scan #: 38-48
RT: 0.86-1.08
AV: 11
Data points: 18008
Mass	Intensity
1012.444746	155.204647
1012.475311	167.015810
1012.505877	173.985694
1012.536445	133.054237
1012.567014	43.135257
1012.597584	0.203633
1012.628156	0.000000
1012.658729	0.000000
1012.689303	0.000000
1012.719879	0.000000
1013.423508	0.000000
1013.454117	0.000000
1013.484727	0.000000
1013.515339	0.000000
1013.545953	61.475095
1013.576567	84.337060
1013.607184	91.073186
1013.637801	76.550379
1013.668420	47.052209
1013.699040	56.534929
1013.729662	75.059460
1013.760285	86.957035
1013.790909	85.501951
1013.821535	69.991839
1013.852162	0.204794
1013.882791	0.000000
1013.913421	0.000000
1013.944052	0.000000
1013.974685	0.000000
1014.127870	0.000000
1014.158511	0.000000
1014.189153	0.000000
1014.219797	0.000000
1014.250442	30.240160
1014.281089	54.022884
1014.311737	63.271258
1014.342387	49.695458
1014.373037	24.766303
1014.403690	0.410153
1014.434343	21.245495
1014.464998	46.036807
1014.495654	64.260182
1014.526312	63.296672
1014.556971	46.663730
1014.587632	26.368231
1014.618294	0.439694
1014.648957	0.000000
1014.679622	0.000000
1014.710288	0.000000
1014.740955	0.000000
1015.231825	0.000000
1015.262516	0.000000
1015.293208	0.000000
1015.323902	0.000000
1015.354597	32.405844
1015.385294	76.868783
1015.415992	110.220464
1015.446692	104.367127
1015.477393	62.408358
1015.508095	0.266047
1015.538799	0.000000
1015.569504	0.000000
1015.600210	0.000000
1015.630918	0.000000
1015.661627	0.000000
1015.692338	0.000000
1015.723050	36.047291
1015.753763	92.741842
1015.784478	126.518200
1015.815194	112.933641
1015.845912	65.973146
1015.876631	0.282850
1015.907351	0.000000
1015.938073	0.000000
1015.968796	0.000000
1015.999521	0.000000
1016.460556	0.000000
1016.491303	0.000000
1016.522052	0.000000
1016.552801	0.000000
1016.583552	42.364803
1016.614305	69.244573
1016.645059	80.712548
1016.675814	69.433047
1016.706570	41.599832
1016.737329	0.212161
1016.768088	0.000000
1016.798849	46.283885
1016.829611	81.810827
1016.860375	95.779500
1016.891140	77.361520
1016.921906	40.095516
1016.952674	0.215443
1016.983443	0.000000
1017.014214	0.000000
1017.044986	0.000000
